years,England,France,Netherlands,Denmark,Spain,Portugal
1501-1580,"1,685",66,0,0,"66,340","71,909"
1580-1640,758,0,"9,972",0,"171,165","500,247"
1640-1700,"427,735","38,441","211,326","27,388","28,700","594,572"
1700-1760,"1,219,985","479,162","197,958","18,772",284,"1,216,694"
1760-1820,"1,609,248","709,529","134,394","64,865","148,026","1,893,204"
1820-1880,0,"154,199",686,0,"646,986","1,559,629"
